"idimdb","title","release","runtime","budget","revenue","poster","rating"
"tt0844471","Cloudy with a Chance of Meatballs","2009-09-17","90","100000000","242988466","https://image.tmdb.org/t/p/original/qhOhIKf7QEyQ5dMrRUqs5eTX1Oq.jpg","6.9"
"tt0859594","Barbie in the 12 Dancing Princesses","2006-09-19","83","0","0","https://image.tmdb.org/t/p/original/opxyzBkB44ubRRyhdrvkoUFWuIj.jpg","6.8"
"tt0864835","Mr. Peabody & Sherman","2014-02-07","92","145000000","272912430","https://image.tmdb.org/t/p/original/c6kZC5pvwNIRSxiLL2JFGGc46He.jpg","6.8"
"tt0876563","崖の上のポニョ","2008-07-19","100","41677699","202404009","https://image.tmdb.org/t/p/original/yp8vEZflGynlEylxEesbYasc06i.jpg","7.6"
"tt0892769","How to Train Your Dragon","2010-03-18","98","165000000","494878759","https://image.tmdb.org/t/p/original/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg","8.1"
"tt0892782","Monsters vs Aliens","2009-03-19","94","175000000","381509870","https://image.tmdb.org/t/p/original/hpHarddVj34j53T7NsoUGdKj4mP.jpg","6.4"
"tt0892791","Shrek Forever After","2010-05-16","93","165000000","752600867","https://image.tmdb.org/t/p/original/faRzuUxkZYzSc8UlAZGQ4tqE1Pi.jpg","6.3"
"tt0910970","WALL·E","2008-06-22","98","180000000","521311860","https://image.tmdb.org/t/p/original/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg","8.4"
"tt0974015","Justice League","2017-11-15","120","300000000","657926987","https://image.tmdb.org/t/p/original/eifGNCSDuxJeS1loAXil5bIGgvC.jpg","6.1"
"tt0983193","The Adventures of Tintin","2011-10-24","107","130000000","371940071","https://image.tmdb.org/t/p/original/mKYkNro2btaWMsnYSuyqrBdHQo3.jpg","7.3"
"tt10006006","A Christmas Prince: The Royal Baby","2019-12-05","84","0","0","https://image.tmdb.org/t/p/original/4RErLw0APt8qQiee0d8VCKasWwl.jpg","5.4"
"tt1001526","Megamind","2010-10-28","96","130000000","321885765","https://image.tmdb.org/t/p/original/7l5OY9oeJyaB2XJKrg0du7pmi1C.jpg","7.3"
"tt10060094","The Knight Before Christmas","2019-11-21","92","0","0","https://image.tmdb.org/t/p/original/ivymBQYzYqZoLhvgYg77gSzXKsA.jpg","5.6"
"tt10101702","My Little Pony: A New Generation","2021-09-23","91","0","0","https://image.tmdb.org/t/p/original/hzq5XRGgm6NDMOW1idUvbpGqEkv.jpg","6.9"
"tt10127562","ドラゴンクエスト ユア・ストーリー","2019-08-02","102","0","0","https://image.tmdb.org/t/p/original/5R70ehKGh5V0ZYOdikxwSfoLGMt.jpg","6.6"
"tt1022603","(500) Days of Summer","2009-07-17","95","7500000","60781545","https://image.tmdb.org/t/p/original/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg","7.7"
"tt10298810","Lightyear","2022-06-15","107","200000000","158980527","https://image.tmdb.org/t/p/original/vpILbP9eOQEtdQgl4vgjZUNY07r.jpg","5.2"
"tt10298840","Strange World","2022-11-23","102","180000000","73621640","https://image.tmdb.org/t/p/original/fHMqfsYyl3lskPK2RiFRwhzwuep.jpg","5.6"
"tt1049413","Up","2009-05-28","96","175000000","735099082","https://image.tmdb.org/t/p/original/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg","8.2"
"tt10600398","We Can Be Heroes","2020-12-25","97","0","0","https://image.tmdb.org/t/p/original/1S21HpcKY6uQ9UAw68aICmrJaq6.jpg","4.7"
"tt10635042","劇場版 美少女戦士セーラームーンEternal 前編","2021-01-08","80","0","0","https://image.tmdb.org/t/p/original/aHMhFF7mT9tWyqBqeXBicjoYNS.jpg","7.1"
"tt10714856","Feel the Beat","2020-06-19","107","0","0","https://image.tmdb.org/t/p/original/Af2jt7m9GLFpR4V11xOsFmT8OKD.jpg","6.3"
"tt1078912","Night at the Museum: Battle of the Smithsonian","2009-05-20","105","150000000","413106170","https://image.tmdb.org/t/p/original/dNvYjzFuSSY7DCVZK7zzaZFemHt.jpg","6"
"tt1080016","Ice Age: Dawn of the Dinosaurs","2009-06-26","94","90000000","886686817","https://image.tmdb.org/t/p/original/cXOLaxcNjNAYmEx1trZxOTKhK3Q.jpg","6.9"
"tt10841088","Riverdance: The Animated Adventure","2021-05-28","86","0","0","https://image.tmdb.org/t/p/original/i6TRDlVuuEXMyLSlIkDd8YhBN0r.jpg","5.5"
"tt10945254","Opération Portugal","2021-06-23","95","1400000","3795575","https://image.tmdb.org/t/p/original/lzTNmjQuF6yFIFVhfp9n3z1Ebm6.jpg","4.5"
"tt10954600","Ant-Man and the Wasp: Quantumania","2023-02-15","125","200000000","475766228","https://image.tmdb.org/t/p/original/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg","6.2"
"tt1099212","Twilight","2008-11-20","122","37000000","393616788","https://image.tmdb.org/t/p/original/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg","5.2"
"tt11057644","The Christmas Chronicles: Part Two","2020-11-18","112","0","0","https://image.tmdb.org/t/p/original/6sG0kbEvAi3RRLcGGU5h8l3qAPa.jpg","6"
"tt11060092","Poly","2020-06-10","102","0","5236154","https://image.tmdb.org/t/p/original/n2v7Uqe9wjguBjDtOX9sbA1OSMh.jpg","5.7"
"tt11084896","Spirit Untamed","2021-05-20","88","30000000","17635215","https://image.tmdb.org/t/p/original/q4WaFHk9Vp1poc88X1szwFRtYc5.jpg","5.5"
"tt1109624","Paddington","2014-11-24","96","55000000","259207227","https://image.tmdb.org/t/p/original/wpchRGhRhvhtU083PfX2yixXtiw.jpg","7.3"
"tt11125620","The Addams Family 2","2021-10-01","93","0","119815153","https://image.tmdb.org/t/p/original/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg","5.4"
"tt11199410","The Princess Switch: Switched Again","2020-11-19","97","10000000","0","https://image.tmdb.org/t/p/original/e4qXQXXaVYvHBE3Rx5x3qrmxorB.jpg","5.4"
"tt11247064","Full Out 2: You Got This!","2020-02-01","90","0","0","https://image.tmdb.org/t/p/original/yeW1gOLWauwhFVleLwcW29RHLG2.jpg","4.8"
"tt11276598","Pets United","2019-11-08","89","0","0","https://image.tmdb.org/t/p/original/gtwqIYSOCRwEndZTg9s6iWjEZc1.jpg","3.8"
"tt11278476","Rescued by Ruby","2022-03-17","93","0","0","https://image.tmdb.org/t/p/original/tPlJEodEn0SSV4avo8KSawtlTlN.jpg","7.2"
"tt11286314","Don't Look Up","2021-12-07","138","75000000","784681","https://image.tmdb.org/t/p/original/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg","7.2"
"tt1133985","Green Lantern","2011-06-16","114","200000000","219851172","https://image.tmdb.org/t/p/original/fj21HwUprqjjwTdkKC1XZurRSpV.jpg","5.5"
"tt11426572","Wedding Season","2022-08-04","99","0","0","https://image.tmdb.org/t/p/original/mFeXAZ1oOECPqEu8c2i4L5LmNyY.jpg","6.3"
"tt11564570","Glass Onion: A Knives Out Mystery","2022-11-23","140","40000000","13280000","https://image.tmdb.org/t/p/original/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg","7.7"
"tt1176410","Beethoven's Big Break","2008-12-26","101","0","0","https://image.tmdb.org/t/p/original/n6BFaobIdGWQhYI1uiq9gmY4FBq.jpg","4.5"
"tt11819890","劇場版ポケットモンスター ココ","2020-12-25","98","0","0","https://image.tmdb.org/t/p/original/vGcHyV9s1N2I7bJLSBODvqHTYLL.jpg","6.6"
"tt11958344","泣きたい私は猫をかぶる","2020-06-18","104","0","0","https://image.tmdb.org/t/p/original/6inkRM1XGBG5vRhclCPWfMenp7N.jpg","6.7"
"tt12139700","Jungle Beat: The Movie","2020-07-02","84","0","0","https://image.tmdb.org/t/p/original/cgC67SOxd9xkjN4Bnvjtuj1vI8T.jpg","5.6"
"tt1216475","Cars 2","2011-06-11","106","200000000","559852396","https://image.tmdb.org/t/p/original/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg","6.1"
"tt1216515","Tinker Bell and the Great Fairy Rescue","2010-07-29","76","0","0","https://image.tmdb.org/t/p/original/cb7PrVIYbwIadQqWxgSU6CGHJjj.jpg","6.9"
"tt1216516","Tinker Bell and the Lost Treasure","2009-09-03","81","0","0","https://image.tmdb.org/t/p/original/hg1959yuBkHb4BKbIvETQSfxGCT.jpg","6.7"
"tt1217209","Brave","2012-06-21","93","185000000","538983207","https://image.tmdb.org/t/p/original/L6qqU6Q3k4MmPojncNbT43FSTL.jpg","7.1"
"tt1217213","Secret of the Wings","2012-08-17","92","0","0","https://image.tmdb.org/t/p/original/iOp2tq3KkrSpVZ5DE2RFvV2OPv9.jpg","7.1"
"tt1219827","Ghost in the Shell","2017-03-29","107","110000000","169801921","https://image.tmdb.org/t/p/original/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg","6.3"
"tt1230204","A Turtle's Tale: Sammy's Adventures","2010-08-03","88","0","71594792","https://image.tmdb.org/t/p/original/3rl95Ml7Igdkc5QKe2GEUWa1SFU.jpg","6.1"
"tt1239462","La véritable histoire du Chat Botté","2009-04-01","82","0","0","https://image.tmdb.org/t/p/original/va4tC2RBC0uwpmq0cctruJmZgFs.jpg","3"
"tt12441478","アーヤと魔女","2021-01-27","82","0","384659","https://image.tmdb.org/t/p/original/86jyzdxtAX8p956rVQDKwGbrYh2.jpg","4.7"
"tt12459520","De Familie Claus","2020-12-07","96","0","0","https://image.tmdb.org/t/p/original/6vA3SbLQ6aH2m3eOKMv2Ki49ypV.jpg","5.5"
"tt12481806","El camino de Xico","2020-11-12","85","0","0","https://image.tmdb.org/t/p/original/g8ZyfUC0THygJkVoO2J7NxsdPI5.jpg","5.2"
"tt1259571","The Twilight Saga: New Moon","2009-11-18","131","50000000","709827462","https://image.tmdb.org/t/p/original/j5jM5pq78ObAXX1WhTsb115EkLl.jpg","4.8"
"tt12759408","Octonauts and the Caves of Sac Actun","2020-08-14","72","0","0","https://image.tmdb.org/t/p/original/wlizMbZByBYPOC4i2AN64e4W1iM.jpg","6.5"
"tt12767498","Barbie: Princess Adventure","2020-09-01","72","0","0","https://image.tmdb.org/t/p/original/AwkmMTKJBAatbeAVhTwhcU3Pyp4.jpg","5.6"
"tt1277953","Madagascar 3: Europe's Most Wanted","2012-06-06","93","145000000","746921274","https://image.tmdb.org/t/p/original/ekraj4ksvIKeuvQVEevEJkuybZd.jpg","6.8"
"tt12801262","Luca","2021-06-17","95","200000000","49010641","https://image.tmdb.org/t/p/original/jTswp6KyDYKtvC52GbHagrZbGvD.jpg","7.5"
"tt12851396","Trollhunters: Rise of the Titans","2021-07-21","106","0","0","https://image.tmdb.org/t/p/original/zvUNFeTz0Sssb210wSiIiHRjA4W.jpg","6.6"
"tt1287468","Cats & Dogs: The Revenge of Kitty Galore","2010-07-28","82","85000000","112483764","https://image.tmdb.org/t/p/original/nTsZT66I4U3aS9ezLdOKacfvo8T.jpg","4.4"
"tt1294138","Barbie and the Diamond Castle","2008-09-03","78","0","0","https://image.tmdb.org/t/p/original/dvjFM3GgYm3gDZ6Ulw0JurDYs4r.jpg","6.4"
"tt1302011","Kung Fu Panda 2","2011-05-25","91","150000000","665692281","https://image.tmdb.org/t/p/original/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg","7.2"
"tt13103340","Father Christmas Is Back","2021-11-07","105","0","0","https://image.tmdb.org/t/p/original/mI6mFCO3lrJ4ovzwfmoLs58uhlK.jpg","4.5"
"tt1323594","Despicable Me","2010-07-08","95","69000000","533679475","https://image.tmdb.org/t/p/original/fb9zF01GKOkNziYVusg20laWsGh.jpg","7.6"
"tt1324999","The Twilight Saga: Breaking Dawn - Part 1","2011-11-16","117","110000000","712171856","https://image.tmdb.org/t/p/original/dSSzv6JrlwS48pBeTNSswLJXOYF.jpg","4.9"
"tt1325004","The Twilight Saga: Eclipse","2010-06-23","124","68000000","698491347","https://image.tmdb.org/t/p/original/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg","5"
"tt13320662","Slumberland","2022-11-18","117","35000000","0","https://image.tmdb.org/t/p/original/oGd2JUEtr0BZN3pK8yakmoZlVFq.jpg","6.7"
"tt13454122","Arlo the Alligator Boy","2021-04-16","92","0","0","https://image.tmdb.org/t/p/original/oOQMJM7G2W8v2AEK722k8welIJY.jpg","6.7"
"tt13575806","Back to the Outback","2021-12-03","92","0","0","https://image.tmdb.org/t/p/original/zNXNRLH5wJprUG6B1olaBTNZOjy.jpg","6.6"
"tt13779166","Octonauts: The Ring of Fire","2021-01-08","72","0","0","https://image.tmdb.org/t/p/original/6hOnSANc3NGsQN9bAF13ey2ZrKU.jpg","7"
"tt13932162","Ганзель, Гретель и Агентство Магии","2021-03-18","104","0","0","https://image.tmdb.org/t/p/original/4ZSzEDVdxWVMVO4oZDvoodQOEfr.jpg","6.2"
"tt1402488","Happy Feet Two","2011-11-18","100","130000000","150406466","https://image.tmdb.org/t/p/original/2gWiQ4mn85jcXtREVePlVViupeV.jpg","5.9"
"tt1430607","Arthur Christmas","2011-11-10","97","10000000","0","https://image.tmdb.org/t/p/original/sPCrGLdTMn0ud3oAJG37VDxpQfZ.jpg","7.1"
"tt1430626","The Pirates! In an Adventure with Scientists!","2012-03-12","88","60000000","123054041","https://image.tmdb.org/t/p/original/gxQWAhT2Hpsid1aBQQmQyYP6brw.jpg","6.7"
"tt14317062","Barbie & Chelsea: The Lost Birthday","2021-05-14","60","0","0","https://image.tmdb.org/t/p/original/yZdVDxLXbz4yucwMy1yTCGTYNVC.jpg","6.2"
"tt1436562","Rio","2011-04-03","96","90000000","484635760","https://image.tmdb.org/t/p/original/oo7M77GXEyyqDGOhzNNZTzEuDSF.jpg","6.9"
"tt14384176","De Familie Claus 2","2021-12-07","98","0","0","https://image.tmdb.org/t/p/original/k1m0SgH91AtSVcAY9p7dtqh0Pgr.jpg","5.5"
"tt1446192","Rise of the Guardians","2012-11-21","97","145000000","306941670","https://image.tmdb.org/t/p/original/kUBkmlWriPbNMijL2m3LtmPYPTb.jpg","7.3"
"tt1453405","Monsters University","2013-06-19","104","200000000","743559607","https://image.tmdb.org/t/p/original/upaMBEonGeZGQc3xtUVZOfe1lGl.jpg","7.2"
"tt1454468","Gravity","2013-10-03","91","105000000","723192705","https://image.tmdb.org/t/p/original/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg","7.7"
"tt14641788","Enola Holmes 2","2022-11-04","129","0","0","https://image.tmdb.org/t/p/original/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg","-1"
"tt14715170","Falling for Christmas","2022-11-10","95","0","0","https://image.tmdb.org/t/p/original/xs2S7EnrKHVW2DYoGSZfpvOZrF5.jpg","5.4"
"tt14731142","The Princess Switch 3: Romancing the Star","2021-11-18","106","0","0","https://image.tmdb.org/t/p/original/bknLygnlfMjiLahnAncvKFXXRMs.jpg","5.5"
"tt1477834","Aquaman","2018-07-06","143","160000000","1148461807","https://image.tmdb.org/t/p/original/xLPffWMhMj1l50ND3KchMjYoKmE.jpg","6.9"
"tt1482459","The Lorax","2012-03-01","86","70000000","348840316","https://image.tmdb.org/t/p/original/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg","6.4"
"tt1485796","The Greatest Showman","2017-12-20","105","84000000","432844677","https://image.tmdb.org/t/p/original/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg","7.5"
"tt1490017","The Lego Movie","2014-02-06","100","60000000","469160692","https://image.tmdb.org/t/p/original/lbctonEnewCYZ4FYoTZhs8cidAl.jpg","7.7"
"tt1502397","Bad Boys for Life","2020-01-15","124","90000000","426505244","https://image.tmdb.org/t/p/original/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg","6.5"
"tt15053428","Barbie: Big City, Big Dreams","2021-08-20","62","0","0","https://image.tmdb.org/t/p/original/jeggetf6lrd0dhtcbqJH75Sik4K.jpg","-1"
"tt1517451","A Star Is Born","2018-10-03","136","36000000","433888866","https://image.tmdb.org/t/p/original/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg","7.6"
"tt15255288","Murder Mystery 2","2023-03-28","91","0","0","https://image.tmdb.org/t/p/original/s1VzVhXlqsevi8zeCMG9A16nEUf.jpg","5.6"
"tt15334430","Dog Gone","2023-01-13","95","0","0","https://image.tmdb.org/t/p/original/eYWdLZCS9W1Xli9bynzFSddLx02.jpg","-1"
"tt15463032","Love in the Villa","2022-09-01","114","0","0","https://image.tmdb.org/t/p/original/t92CXfEP5aWBATeOomcF0wF9NsM.jpg","5.3"
"tt15565714","Dawid i Elfy","2021-12-06","106","0","0","https://image.tmdb.org/t/p/original/gdQml1N2kysb1wKAGqTu3ZuQADW.jpg","5.2"
"tt1568921","借りぐらしのアリエッティ","2010-07-16","94","23000000","149480483","https://image.tmdb.org/t/p/original/xLkyM2Vt3yqlttnql02uXt0lemy.jpg","7.6"
"tt1587310","Maleficent","2014-05-28","97","180000000","758539785","https://image.tmdb.org/t/p/original/ik8PugpL41s137RAWEGTAWu0dPo.jpg","7"
"tt1594972","Norm of the North","2016-01-14","86","7000000","17062499","https://image.tmdb.org/t/p/original/ouaoVSV7aOSWTNnQ9iDA1jw0pgg.jpg","3.4"
"tt15979222","A Kindhearted Christmas","2021-11-20","84","0","0","https://image.tmdb.org/t/p/original/rNvfIcaYjQjczvW6o3qdB7W4vz.jpg","7"
"tt1610301","Barbie in A Mermaid Tale","2010-01-25","75","0","16441438","https://image.tmdb.org/t/p/original/jtOlo3AaXVBnqfMeKGFrZUMPFui.jpg","6.3"
"tt1615918","Alvin and the Chipmunks: Chipwrecked","2011-12-14","87","75000000","342695435","https://image.tmdb.org/t/p/original/i2KJbbpodyxizppc8F9NbUb7Iiq.jpg","4.3"
"tt1620981","The Addams Family","2019-10-10","86","40000000","203044905","https://image.tmdb.org/t/p/original/q1epO0eO8DWu8Vo8tPfvVlzW48T.jpg","5.8"
"tt1630029","Avatar: The Way of Water","2022-12-14","192","460000000","1397417914","https://image.tmdb.org/t/p/original/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg","7.9"
"tt1638275","Klara","2010-03-26","80","0","0","https://image.tmdb.org/t/p/original/1mLc96vr6H7kgBuvv3N4hPRtNqC.jpg","4.3"
"tt1646971","How to Train Your Dragon 2","2014-06-05","102","145000000","621537500","https://image.tmdb.org/t/p/original/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg","7.8"
"tt1661199","Cinderella","2015-03-12","105","95000000","543514353","https://image.tmdb.org/t/p/original/j91LJmcWo16CArFOoapsz84bwxb.jpg","6.9"
"tt1677720","Ready Player One","2018-03-28","140","175000000","582890172","https://image.tmdb.org/t/p/original/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg","7.4"
"tt1679335","Trolls","2016-10-13","92","125000000","346864462","https://image.tmdb.org/t/p/original/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg","6.5"
"tt1690953","Despicable Me 2","2013-06-26","98","76000000","970761885","https://image.tmdb.org/t/p/original/5Fh4NdoEnCjCK9wLjdJ9DJNFl2b.jpg","7.3"
"tt1691917","Planes","2013-08-09","91","50000000","219788712","https://image.tmdb.org/t/p/original/yVbtaT9HQaJVNwhCXzh5AeJt9G8.jpg","5.7"
"tt1723642","Sur la piste du Marsupilami","2012-04-03","105","50000000","50100000","https://image.tmdb.org/t/p/original/7H2hk9IzYhRPU0iPMOzEwJkeUBn.jpg","5.5"
"tt1754455","L'apprenti Père Noël","2010-11-24","80","0","0","https://image.tmdb.org/t/p/original/ot2u06E1TjVCXkcoAEPSE1hHuTi.jpg","6.4"
"tt1764625","Las aventuras de Tadeo Jones","2012-08-10","90","10500000","23000000","https://image.tmdb.org/t/p/original/vmysxjUJkYmp6CmjNOKOeHMOzFA.jpg","5.9"
"tt1772341","Wreck-It Ralph","2012-01-01","101","165000000","471222889","https://image.tmdb.org/t/p/original/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg","7.7"
"tt1794796","劇場版 イナズマイレブン 最強軍団オーガ襲来","2010-12-23","90","0","0","https://image.tmdb.org/t/p/original/y1GpLLkE7OLaVMsjQOXDd92stuG.jpg","6.6"
"tt1799516","Benji","2018-01-01","87","6000000","585333","https://image.tmdb.org/t/p/original/79pacM3h5FoETnfuRC6O2qPfzn4.jpg","6.3"
"tt1800254","Barbie: A Fairy Secret","2011-03-01","72","0","0","https://image.tmdb.org/t/p/original/wn2aoYKOonwMNKkzfgO5y4ji8pB.jpg","5.8"
"tt18059108","Surviving Paradise: A Family Tale","2022-03-03","78","0","0","https://image.tmdb.org/t/p/original/c7cA49RgpTYgk7Db3XAzb8vExAD.jpg","7.5"
"tt1860353","Turbo","2013-07-11","96","135000000","282570682","https://image.tmdb.org/t/p/original/tN4bjzZ3ePY57hpCTFk0Kc3oXAw.jpg","6.4"
"tt1979376","Toy Story 4","2019-06-19","100","175000000","1073394593","https://image.tmdb.org/t/p/original/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg","7.7"
"tt1979388","The Good Dinosaur","2015-11-14","93","175000000","332207671","https://image.tmdb.org/t/p/original/j0MuLOCf7q5o62xGVhN80K36xYS.jpg","6.7"
"tt1985949","The Angry Birds Movie","2016-05-11","97","73000000","349779543","https://image.tmdb.org/t/p/original/nsaaZryqabtrdKwXcNud2Bm39mu.jpg","6.3"
"tt1985966","Cloudy with a Chance of Meatballs 2","2013-09-26","95","78000000","248384621","https://image.tmdb.org/t/p/original/tT2DN1tWk1zpCxqvaaNY8yP8Awn.jpg","6.4"
"tt20115096","A Tourist's Guide to Love","2023-04-21","96","0","0","https://image.tmdb.org/t/p/original/uWkpjbBe4gRZilXRXbYfsMUZMhz.jpg","5.7"
"tt2017020","The Smurfs 2","2013-07-30","105","105000000","347434178","https://image.tmdb.org/t/p/original/4zu8hbjp7bedcbetQssylLhpguk.jpg","5.3"
"tt20561114","Christmas on Mistletoe Farm","2022-11-23","104","0","0","https://image.tmdb.org/t/p/original/rGCwI76dylPViDF9VXFY0ORRhls.jpg","-1"
"tt2066832","Barbie: Princess Charm School","2011-08-11","79","0","0","https://image.tmdb.org/t/p/original/lI2jPbssax6XX5vDqB9mTJHGzfH.jpg","6.5"
"tt2091240","Barbie: A Perfect Christmas","2011-11-03","74","0","0","https://image.tmdb.org/t/p/original/u14NrsyD9h505ZXs5Ofm7Tv3AuM.jpg","5.6"
"tt2091256","Captain Underpants: The First Epic Movie","2017-06-01","89","38000000","125427681","https://image.tmdb.org/t/p/original/AjHZIkzhPXrRNE4VSLVWx6dirK9.jpg","6.2"
"tt20917338","Scrooge: A Christmas Carol","2022-11-18","97","0","0","https://image.tmdb.org/t/p/original/nOrnzHn9SCF6JTXfX02eSPyAAXL.jpg","-1"
"tt2096673","Inside Out","2015-06-09","95","175000000","857611174","https://image.tmdb.org/t/p/original/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg","8.1"
"tt21933210","Barbie: Mermaid Power","2022-10-14","64","0","0","https://image.tmdb.org/t/p/original/8qb8cLDBAWdahrtixN2mQdI6e52.jpg","5.4"
"tt2194499","About Time","2013-09-04","123","12000000","87100449","https://image.tmdb.org/t/p/original/iR1bVfURbN7r1C46WHFbwCkVve.jpg","7.8"
"tt2197823","Barbie in A Mermaid Tale 2","2012-02-22","74","0","15489307","https://image.tmdb.org/t/p/original/iVCfTtVDAECpbMSokSNilIR6wPr.jpg","6.1"
"tt2224026","Home","2015-03-18","94","135000000","368871007","https://image.tmdb.org/t/p/original/usFenYnk6mr8C62dB1MoAfSWMGR.jpg","6.6"
"tt2245084","Big Hero 6","2014-10-24","102","165000000","657827828","https://image.tmdb.org/t/p/original/2mxS4wUimwlLmI1xp6QW6NSU361.jpg","7.8"
"tt2262227","The Book of Life","2014-10-01","95","50000000","97437106","https://image.tmdb.org/t/p/original/aotTZos5KswgCryEzx2rlOjFsm1.jpg","7.2"
"tt2267968","Kung Fu Panda 3","2016-01-23","95","145000000","521170825","https://image.tmdb.org/t/p/original/mEdOIiVF6yS0Q1y8GUyWwcG2mCi.jpg","7.1"
"tt22774688","The Soccer Football Movie","2022-11-09","74","0","0","https://image.tmdb.org/t/p/original/sWoYDNPNZs5MtzPbirXV73tIHrA.jpg","-1"
"tt2277860","Finding Dory","2016-06-16","97","200000000","1028570889","https://image.tmdb.org/t/p/original/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg","7.3"
"tt2279373","The SpongeBob Movie: Sponge Out of Water","2015-01-28","92","74000000","311594032","https://image.tmdb.org/t/p/original/2WDmjUlSAPlA27i2OwEC7sRTFw3.jpg","6"
"tt2293640","Minions","2015-06-17","91","74000000","1156730962","https://image.tmdb.org/t/p/original/vlOgaxUiMOA8sPDG9n3VhQabnEi.jpg","6.4"
"tt2294629","Frozen","2013-11-20","102","150000000","1274219009","https://image.tmdb.org/t/p/original/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg","7.4"
"tt2296777","Sherlock Gnomes","2018-03-15","86","59000000","90497778","https://image.tmdb.org/t/p/original/wqnzpJR3PwS4doVkAkt9seSEpoX.jpg","5.2"
"tt2357291","Rio 2","2014-03-19","101","103000000","500188435","https://image.tmdb.org/t/p/original/tpCqpv8y0cDb7mgIPeTv70W9vmF.jpg","6.3"
"tt23623604","L.O.L. Surprise! Winter Fashion Show","2022-10-24","0","0","0","https://image.tmdb.org/t/p/original/ik65OsEXbik1I0Di7SX9Sqv04e9.jpg","-1"
"tt2380307","Coco","2017-10-27","105","175000000","800526015","https://image.tmdb.org/t/p/original/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg","8.4"
"tt2386490","How to Train Your Dragon: The Hidden World","2019-01-03","104","129000000","517526875","https://image.tmdb.org/t/p/original/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg","7.5"
"tt2396690","Barbie: The Princess & The Popstar","2012-09-13","86","0","0","https://image.tmdb.org/t/p/original/hab6ZMC3eXj9pQHlSxNUjonphCR.jpg","5.6"
"tt2398241","Smurfs: The Lost Village","2017-03-23","89","60000000","197183546","https://image.tmdb.org/t/p/original/diYAZ6CKUuRAqLYMB2AyVutEFm0.jpg","6"
"tt2425618","Kirikou et les hommes et les femmes","2012-10-02","88","0","0","https://image.tmdb.org/t/p/original/7lDY3T7B4x0ZaEKcvcDOWOYIBG6.jpg","6.6"
"tt2452244","Isn't It Romantic","2019-02-13","89","0","0","https://image.tmdb.org/t/p/original/5xNBYXuv8wqiLVDhsfqCOr75DL7.jpg","5.9"
"tt2463208","The Adam Project","2022-03-11","106","116000000","471000000","https://image.tmdb.org/t/p/original/wFjboE0aFZNbVOF05fzrka9Fqyx.jpg","6.7"
"tt2510894","Hotel Transylvania 2","2015-09-21","89","80000000","473226958","https://image.tmdb.org/t/p/original/kKFgwQnR5q08UFsAvtoYyTIiHyj.jpg","6.7"
"tt2527338","Star Wars: The Rise of Skywalker","2019-12-18","142","250000000","1074144248","https://image.tmdb.org/t/p/original/db32LaOibwEliAmSL2jjDF6oDdj.jpg","6.5"
"tt2560092","The Magician's Elephant","2023-03-10","99","0","0","https://image.tmdb.org/t/p/original/cAoAgzOCxSytYBqqCQulhXNR3LB.jpg","-1"
"tt2630134","Barbie in the Pink Shoes","2013-02-14","75","0","0","https://image.tmdb.org/t/p/original/4HSPgeq04YUghXbSO5tSPP0jZ4k.jpg","5.5"
"tt2709768","The Secret Life of Pets","2016-06-18","87","75000000","875457937","https://image.tmdb.org/t/p/original/gJo9G56QlXKRe2tcdDVSt28xVsP.jpg","6.5"
"tt2771200","Beauty and the Beast","2017-03-16","129","160000000","1263521126","https://image.tmdb.org/t/p/original/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg","7.1"
"tt2822672","Rock Dog","2016-07-08","90","60000000","9420546","https://image.tmdb.org/t/p/original/7RXi2afiNJGU8EB79SD8HYoSz4O.jpg","6"
