id,nom_produit,quantite_vendue,prix_unitaire,chiffre_affaires,date_vente,Mois
63,Produit_C,52,78.38,4075.76,2024-01-21 11:28:21.147182,2024-01
64,Produit_B,93,116.81,10863.33,2023-12-12 11:28:21.147191,2023-12
65,Produit_B,50,181.04,9052.0,2024-02-15 11:28:21.147199,2024-02
66,Produit_B,60,10.49,629.4,2024-03-31 11:28:21.147207,2024-03
67,Produit_D,65,163.02,10596.3,2024-04-27 11:28:21.147215,2024-04
68,Produit_D,77,10.53,810.81,2024-10-03 11:28:21.147223,2024-10
69,Produit_E,26,25.02,650.52,2024-04-21 11:28:21.147231,2024-04
70,Produit_B,1,14.56,14.56,2024-06-03 11:28:21.147239,2024-06
71,Produit_B,83,95.89,7958.87,2024-03-01 11:28:21.147247,2024-03
72,Produit_C,63,43.49,2739.87,2024-09-21 11:28:21.147254,2024-09
73,Produit_A,85,85.92,7303.2,2024-07-07 11:28:21.147262,2024-07
74,Produit_A,44,168.76,7425.44,2024-03-16 11:28:21.147269,2024-03
75,Produit_C,3,35.08,105.24,2024-01-01 11:28:21.147277,2024-01
76,Produit_D,69,140.19,9673.11,2024-01-13 11:28:21.147285,2024-01
77,Produit_A,40,180.32,7212.8,2024-08-29 11:28:21.147293,2024-08
78,Produit_E,40,183.86,7354.4,2023-12-22 11:28:21.147302,2023-12
79,Produit_C,24,170.42,4090.08,2024-01-20 11:28:21.147310,2024-01
80,Produit_D,43,132.24,5686.32,2023-11-13 11:28:21.147320,2023-11
81,Produit_A,67,142.53,9549.51,2024-10-07 11:28:21.147328,2024-10
82,Produit_E,87,29.61,2576.07,2024-04-06 11:28:21.147336,2024-04
83,Produit_A,74,171.89,12719.86,2024-09-18 11:28:21.147344,2024-09
84,Produit_C,17,141.4,2403.8,2024-08-06 11:28:21.147352,2024-08
85,Produit_A,28,136.71,3827.88,2023-12-27 11:28:21.147359,2023-12
86,Produit_B,96,104.98,10078.08,2024-07-05 11:28:21.147367,2024-07
87,Produit_B,8,193.4,1547.2,2023-11-21 11:28:21.147375,2023-11
88,Produit_A,64,85.36,5463.04,2024-04-25 11:28:21.147383,2024-04
89,Produit_C,57,176.56,10063.92,2024-05-02 11:28:21.147391,2024-05
90,Produit_E,94,97.17,9133.98,2024-04-13 11:28:21.147399,2024-04
91,Produit_D,1,175.33,175.33,2024-01-27 11:28:21.147407,2024-01
92,Produit_C,27,46.86,1265.22,2024-03-06 11:28:21.147415,2024-03
93,Produit_C,89,66.12,5884.68,2024-09-24 11:28:21.147423,2024-09
94,Produit_D,82,188.95,15493.9,2024-09-28 11:28:21.147430,2024-09
95,Produit_C,52,38.31,1992.12,2024-07-01 11:28:21.147438,2024-07
96,Produit_B,84,146.57,12311.88,2024-06-10 11:28:21.147445,2024-06
97,Produit_D,81,15.74,1274.94,2023-12-17 11:28:21.147454,2023-12
98,Produit_D,21,42.47,891.87,2024-08-23 11:28:21.147462,2024-08
99,Produit_D,50,165.73,8286.5,2024-07-10 11:28:21.147470,2024-07
100,Produit_D,17,108.04,1836.68,2023-12-28 11:28:21.147478,2023-12
101,Produit_C,88,45.44,3998.72,2023-12-03 11:28:21.147486,2023-12
102,Produit_E,73,74.27,5421.71,2024-08-25 11:28:21.147494,2024-08
103,Produit_A,63,190.31,11989.53,2024-07-07 11:28:21.147501,2024-07
104,Produit_C,2,93.01,186.02,2024-07-15 11:28:21.147509,2024-07
105,Produit_D,88,40.78,3588.64,2024-08-19 11:28:21.147517,2024-08
106,Produit_B,20,99.11,1982.2,2024-01-26 11:28:21.147524,2024-01
107,Produit_B,23,43.03,989.69,2024-07-31 11:28:21.147532,2024-07
108,Produit_D,40,17.12,684.8,2024-09-08 11:28:21.147540,2024-09
109,Produit_E,87,109.32,9510.84,2023-12-05 11:28:21.147548,2023-12
110,Produit_D,11,34.83,383.13,2024-08-16 11:28:21.147557,2024-08
111,Produit_C,36,136.24,4904.64,2024-06-10 11:28:21.147564,2024-06
112,Produit_E,70,74.19,5193.3,2024-06-24 11:28:21.147573,2024-06
113,Produit_B,5,164.79,823.95,2023-10-20 11:28:21.147581,2023-10
114,Produit_B,29,49.38,1432.02,2024-04-04 11:28:21.147589,2024-04
115,Produit_B,37,29.7,1098.9,2024-02-22 11:28:21.147597,2024-02
116,Produit_B,43,78.26,3365.18,2024-02-21 11:28:21.147606,2024-02
117,Produit_C,23,22.51,517.73,2023-11-26 11:28:21.147614,2023-11
118,Produit_B,96,28.85,2769.6,2023-11-25 11:28:21.147621,2023-11
119,Produit_B,96,144.17,13840.32,2024-09-19 11:28:21.147629,2024-09
120,Produit_C,89,183.38,16320.82,2024-01-25 11:28:21.147637,2024-01
121,Produit_C,59,73.23,4320.57,2024-10-15 11:28:21.147648,2024-10
122,Produit_D,86,83.28,7162.08,2024-07-22 11:28:21.147662,2024-07
123,Produit_B,96,163.99,15743.04,2024-02-24 11:28:21.147670,2024-02
124,Produit_C,9,187.26,1685.34,2024-04-17 11:28:21.147678,2024-04
125,Produit_D,74,136.92,10132.08,2024-07-12 11:28:21.147686,2024-07
126,Produit_D,20,15.13,302.6,2023-12-20 11:28:21.147694,2023-12
127,Produit_C,63,179.6,11314.8,2024-01-17 11:28:21.147702,2024-01
128,Produit_B,54,112.76,6089.04,2024-01-14 11:28:21.147711,2024-01
129,Produit_E,46,189.7,8726.2,2024-03-14 11:28:21.147719,2024-03
130,Produit_D,92,14.28,1313.76,2024-07-06 11:28:21.147727,2024-07
131,Produit_C,4,113.31,453.24,2024-04-16 11:28:21.147735,2024-04
132,Produit_C,56,151.91,8506.96,2024-07-13 11:28:21.147743,2024-07
133,Produit_E,71,116.28,8255.88,2024-02-13 11:28:21.147750,2024-02
134,Produit_D,40,46.58,1863.2,2024-10-16 11:28:21.147758,2024-10
135,Produit_B,98,34.65,3395.7,2024-04-12 11:28:21.147766,2024-04
136,Produit_B,56,108.98,6102.88,2024-02-10 11:28:21.147774,2024-02
137,Produit_E,15,53.53,802.95,2024-08-20 11:28:21.147782,2024-08
138,Produit_A,17,64.65,1099.05,2024-09-18 11:28:21.147789,2024-09
139,Produit_D,16,190.85,3053.6,2024-02-09 11:28:21.147798,2024-02
140,Produit_E,76,121.11,9204.36,2023-11-05 11:28:21.147805,2023-11
141,Produit_E,12,187.0,2244.0,2024-10-05 11:28:21.147814,2024-10
142,Produit_A,70,50.04,3502.8,2023-10-26 11:28:21.147821,2023-10
143,Produit_E,5,155.03,775.15,2024-04-05 11:28:21.147829,2024-04
144,Produit_A,83,130.02,10791.66,2024-01-01 11:28:21.147837,2024-01
145,Produit_B,44,77.89,3427.16,2024-09-12 11:28:21.147845,2024-09
146,Produit_C,18,190.18,3423.24,2024-04-13 11:28:21.147853,2024-04
147,Produit_E,86,49.1,4222.6,2024-09-21 11:28:21.147861,2024-09
148,Produit_D,82,84.48,6927.36,2024-09-21 11:28:21.147869,2024-09
149,Produit_E,99,53.82,5328.18,2023-12-18 11:28:21.147877,2023-12
150,Produit_E,59,162.21,9570.39,2024-03-22 11:28:21.147885,2024-03
151,Produit_E,49,28.63,1402.87,2024-08-08 11:28:21.147893,2024-08
152,Produit_B,43,93.14,4005.02,2024-10-13 11:28:21.147901,2024-10
153,Produit_B,65,145.48,9456.2,2024-03-25 11:28:21.147909,2024-03
154,Produit_D,6,38.33,229.98,2024-09-03 11:28:21.147917,2024-09
155,Produit_C,85,74.17,6304.45,2024-08-13 11:28:21.147925,2024-08
156,Produit_A,56,153.38,8589.28,2024-07-24 11:28:21.147933,2024-07
157,Produit_B,65,107.94,7016.1,2023-10-26 11:28:21.147941,2023-10
158,Produit_A,34,151.42,5148.28,2024-08-22 11:28:21.147949,2024-08
159,Produit_E,92,46.87,4312.04,2024-06-19 11:28:21.147956,2024-06
160,Produit_B,50,153.83,7691.5,2023-12-04 11:28:21.147964,2023-12
161,Produit_B,38,189.32,7194.16,2024-05-25 11:28:21.147972,2024-05
162,Produit_C,79,170.4,13461.6,2024-01-09 11:28:21.147979,2024-01
163,Produit_D,58,177.67,10304.86,2024-07-30 11:28:21.147988,2024-07
164,Produit_A,93,57.41,5339.13,2024-08-22 11:28:21.147999,2024-08
165,Produit_E,72,173.32,12479.04,2024-03-05 11:28:21.148006,2024-03
166,Produit_A,43,178.68,7683.24,2024-01-24 11:28:21.148014,2024-01
167,Produit_E,72,102.91,7409.52,2024-01-14 11:28:21.148022,2024-01
168,Produit_D,25,64.87,1621.75,2024-02-22 11:28:21.148031,2024-02
169,Produit_C,65,86.16,5600.4,2023-11-01 11:28:21.148039,2023-11
170,Produit_B,62,176.76,10959.12,2024-02-17 11:28:21.148046,2024-02
171,Produit_C,100,24.25,2425.0,2024-01-09 11:28:21.148055,2024-01
172,Produit_B,28,182.88,5120.64,2024-02-13 11:28:21.148063,2024-02
173,Produit_D,30,93.4,2802.0,2024-06-07 11:28:21.148071,2024-06
174,Produit_D,74,11.72,867.28,2024-03-20 11:28:21.148079,2024-03
175,Produit_E,63,87.4,5506.2,2024-07-30 11:28:21.148087,2024-07
176,Produit_D,54,92.6,5000.4,2023-12-17 11:28:21.148112,2023-12
177,Produit_C,21,19.75,414.75,2024-03-28 11:28:21.148124,2024-03
178,Produit_D,46,62.62,2880.52,2024-04-26 11:28:21.148133,2024-04
179,Produit_C,34,187.14,6362.76,2024-07-05 11:28:21.148140,2024-07
180,Produit_D,87,21.75,1892.25,2024-08-21 11:28:21.148149,2024-08
181,Produit_C,11,157.63,1733.93,2024-02-07 11:28:21.148157,2024-02
182,Produit_E,3,26.28,78.84,2024-09-17 11:28:21.148165,2024-09
183,Produit_D,89,26.73,2378.97,2024-02-02 11:28:21.148173,2024-02
184,Produit_E,76,130.55,9921.8,2024-06-18 11:28:21.148181,2024-06
185,Produit_D,64,27.93,1787.52,2024-10-05 11:28:21.148189,2024-10
186,Produit_A,2,174.64,349.28,2024-05-16 11:28:21.148201,2024-05
187,Produit_D,65,117.37,7629.05,2024-02-19 11:28:21.148210,2024-02
188,Produit_E,53,120.51,6387.03,2024-05-19 11:28:21.148218,2024-05
189,Produit_A,41,111.05,4553.05,2024-06-25 11:28:21.148225,2024-06
190,Produit_C,57,70.34,4009.38,2024-07-17 11:28:21.148233,2024-07
191,Produit_B,23,97.75,2248.25,2024-02-26 11:28:21.148242,2024-02
192,Produit_A,79,67.46,5329.34,2024-05-04 11:28:21.148250,2024-05
193,Produit_C,11,66.5,731.5,2024-06-10 11:28:21.148258,2024-06
194,Produit_D,82,63.29,5189.78,2024-04-03 11:28:21.148265,2024-04
195,Produit_A,13,129.84,1687.92,2024-02-20 11:28:21.148275,2024-02
196,Produit_E,40,28.56,1142.4,2024-01-02 11:28:21.148283,2024-01
197,Produit_A,9,155.02,1395.18,2024-08-09 11:28:21.148291,2024-08
198,Produit_C,88,97.26,8558.88,2024-07-10 11:28:21.148299,2024-07
199,Produit_C,4,32.38,129.52,2024-09-17 11:28:21.148306,2024-09
200,Produit_E,12,29.16,349.92,2023-12-06 11:28:21.148313,2023-12
201,Produit_B,10,116.04,1160.4,2024-05-04 11:28:21.148322,2024-05
202,Produit_B,6,68.87,413.22,2024-06-24 11:28:21.148330,2024-06
203,Produit_C,27,174.3,4706.1,2024-08-21 11:28:21.148338,2024-08
204,Produit_E,39,150.34,5863.26,2024-06-16 11:28:21.148345,2024-06
205,Produit_E,20,87.05,1741.0,2024-07-05 11:28:21.148353,2024-07
206,Produit_E,85,53.02,4506.7,2024-03-05 11:28:21.148361,2024-03
207,Produit_E,81,124.75,10104.75,2023-10-21 11:28:21.148373,2023-10
208,Produit_C,53,75.78,4016.34,2024-04-19 11:28:21.148381,2024-04
209,Produit_A,62,193.88,12020.56,2024-06-28 11:28:21.148389,2024-06
210,Produit_C,9,30.03,270.27,2024-07-17 11:28:21.148397,2024-07
211,Produit_A,81,65.8,5329.8,2024-05-15 11:28:21.148405,2024-05
212,Produit_C,23,126.04,2898.92,2024-09-12 11:28:21.148413,2024-09
213,Produit_B,66,115.18,7601.88,2024-01-20 11:28:21.148421,2024-01
214,Produit_B,19,17.86,339.34,2024-04-09 11:28:21.148429,2024-04
215,Produit_E,41,145.67,5972.47,2024-07-14 11:28:21.148437,2024-07
216,Produit_B,19,41.95,797.05,2024-04-21 11:28:21.148445,2024-04
217,Produit_C,25,119.35,2983.75,2024-06-03 11:28:21.148453,2024-06
218,Produit_B,97,131.66,12771.02,2023-12-07 11:28:21.148461,2023-12
219,Produit_D,43,70.84,3046.12,2024-04-16 11:28:21.148468,2024-04
220,Produit_D,94,127.35,11970.9,2024-09-25 11:28:21.148476,2024-09
221,Produit_D,72,109.68,7896.96,2023-12-06 11:28:21.148483,2023-12
222,Produit_C,70,98.46,6892.2,2024-08-11 11:28:21.148491,2024-08
223,Produit_A,23,25.51,586.73,2024-03-03 11:28:21.148499,2024-03
224,Produit_D,75,96.37,7227.75,2024-08-13 11:28:21.148507,2024-08
225,Produit_D,18,180.05,3240.9,2024-04-06 11:28:21.148515,2024-04
226,Produit_D,15,164.04,2460.6,2024-09-30 11:28:21.148522,2024-09
227,Produit_D,83,147.07,12206.81,2024-03-22 11:28:21.148530,2024-03
228,Produit_C,2,150.44,300.88,2023-12-15 11:28:21.148538,2023-12
229,Produit_D,57,164.11,9354.27,2024-02-14 11:28:21.148546,2024-02
230,Produit_B,78,21.07,1643.46,2024-04-19 11:28:21.148555,2024-04
231,Produit_C,66,133.32,8799.12,2024-05-11 11:28:21.148562,2024-05
232,Produit_D,16,162.02,2592.32,2023-12-23 11:28:21.148570,2023-12
233,Produit_B,58,108.67,6302.86,2024-05-06 11:28:21.148579,2024-05
234,Produit_E,47,51.47,2419.09,2024-05-23 11:28:21.148586,2024-05
235,Produit_A,27,117.84,3181.68,2024-02-11 11:28:21.148594,2024-02
236,Produit_E,12,42.16,505.92,2024-02-02 11:28:21.148602,2024-02
237,Produit_C,15,108.01,1620.15,2024-10-08 11:28:21.148610,2024-10
238,Produit_D,80,59.65,4772.0,2024-01-05 11:28:21.148618,2024-01
239,Produit_E,72,195.4,14068.8,2024-10-09 11:28:21.148628,2024-10
240,Produit_C,88,153.02,13465.76,2024-07-20 11:28:21.148635,2024-07
241,Produit_C,6,196.83,1180.98,2024-01-17 11:28:21.148643,2024-01
242,Produit_E,46,192.26,8843.96,2024-08-26 11:28:21.148651,2024-08
243,Produit_A,61,33.34,2033.74,2024-05-25 11:28:21.148659,2024-05
244,Produit_C,97,114.41,11097.77,2024-07-14 11:28:21.148666,2024-07
245,Produit_E,87,127.86,11123.82,2024-06-07 11:28:21.148674,2024-06
246,Produit_C,10,36.67,366.7,2024-05-27 11:28:21.148682,2024-05
247,Produit_E,67,84.51,5662.17,2024-05-09 11:28:21.148689,2024-05
248,Produit_C,33,136.39,4500.87,2024-03-15 11:28:21.148697,2024-03
249,Produit_D,31,50.01,1550.31,2023-11-15 11:28:21.148705,2023-11
250,Produit_B,77,182.06,14018.62,2024-03-06 11:28:21.148718,2024-03
251,Produit_B,50,174.37,8718.5,2024-04-04 11:28:21.148726,2024-04
252,Produit_E,97,91.22,8848.34,2024-09-06 11:28:21.148735,2024-09
253,Produit_C,43,97.52,4193.36,2024-03-30 11:28:21.148742,2024-03
254,Produit_C,56,12.28,687.68,2024-02-06 11:28:21.148750,2024-02
255,Produit_E,59,197.31,11641.29,2023-12-14 11:28:21.148758,2023-12
256,Produit_B,61,141.96,8659.56,2024-04-12 11:28:21.148767,2024-04
257,Produit_E,24,28.5,684.0,2024-01-20 11:28:21.148775,2024-01
258,Produit_D,1,35.02,35.02,2024-02-05 11:28:21.148784,2024-02
259,Produit_E,89,133.43,11875.27,2024-02-24 11:28:21.148792,2024-02
260,Produit_D,68,30.9,2101.2,2023-11-19 11:28:21.148800,2023-11
261,Produit_D,42,53.83,2260.86,2024-03-03 11:28:21.148808,2024-03
262,Produit_B,95,108.14,10273.3,2024-02-29 11:28:21.148816,2024-02
263,Produit_E,40,84.32,3372.8,2024-09-22 11:28:21.148823,2024-09
264,Produit_A,67,80.57,5398.19,2024-08-14 11:28:21.148831,2024-08
265,Produit_B,76,49.65,3773.4,2024-05-11 11:28:21.148839,2024-05
266,Produit_C,95,102.17,9706.15,2023-11-22 11:28:21.148846,2023-11
267,Produit_A,39,65.01,2535.39,2024-01-16 11:28:21.148854,2024-01
268,Produit_B,51,52.96,2700.96,2024-06-17 11:28:21.148862,2024-06
269,Produit_D,16,46.19,739.04,2024-05-11 11:28:21.148870,2024-05
270,Produit_E,14,78.48,1098.72,2024-10-02 11:28:21.148878,2024-10
271,Produit_B,34,180.79,6146.86,2024-01-16 11:28:21.148886,2024-01
272,Produit_D,41,154.38,6329.58,2024-03-31 11:28:21.148894,2024-03
273,Produit_E,7,20.84,145.88,2024-03-05 11:28:21.148902,2024-03
274,Produit_A,42,18.43,774.06,2024-10-09 11:28:21.148910,2024-10
275,Produit_E,18,191.55,3447.9,2024-09-22 11:28:21.148918,2024-09
276,Produit_B,26,54.9,1427.4,2024-02-06 11:28:21.148926,2024-02
277,Produit_A,24,127.34,3056.16,2024-01-19 11:28:21.148934,2024-01
278,Produit_D,48,177.6,8524.8,2024-05-07 11:28:21.148942,2024-05
279,Produit_A,45,106.12,4775.4,2024-08-29 11:28:21.148951,2024-08
280,Produit_E,7,187.04,1309.28,2024-04-25 11:28:21.148958,2024-04
281,Produit_E,10,66.99,669.9,2024-02-23 11:28:21.148966,2024-02
282,Produit_E,53,175.66,9309.98,2023-12-09 11:28:21.148978,2023-12
283,Produit_A,5,175.96,879.8,2023-11-05 11:28:21.148986,2023-11
284,Produit_B,5,100.45,502.25,2024-07-26 11:28:21.148995,2024-07
285,Produit_C,29,84.89,2461.81,2023-10-25 11:28:21.149003,2023-10
286,Produit_B,26,197.41,5132.66,2024-04-17 11:28:21.149011,2024-04
287,Produit_D,25,75.34,1883.5,2024-03-22 11:28:21.149019,2024-03
288,Produit_D,30,186.39,5591.7,2024-07-16 11:28:21.149027,2024-07
289,Produit_C,20,120.56,2411.2,2023-12-01 11:28:21.149035,2023-12
290,Produit_A,3,157.84,473.52,2024-06-07 11:28:21.149043,2024-06
291,Produit_B,12,195.65,2347.8,2024-02-10 11:28:21.149051,2024-02
292,Produit_E,27,190.86,5153.22,2023-11-08 11:28:21.149062,2023-11
293,Produit_E,25,115.28,2882.0,2023-11-30 11:28:21.149071,2023-11
294,Produit_D,32,77.84,2490.88,2024-06-19 11:28:21.149080,2024-06
295,Produit_A,26,42.4,1102.4,2024-03-03 11:28:21.149088,2024-03
296,Produit_D,68,60.61,4121.48,2024-10-11 11:28:21.149096,2024-10
297,Produit_C,10,75.03,750.3,2024-02-17 11:28:21.149104,2024-02
298,Produit_E,92,26.08,2399.36,2024-02-07 11:28:21.149112,2024-02
299,Produit_A,93,112.79,10489.47,2024-04-09 11:28:21.149120,2024-04
300,Produit_A,20,110.42,2208.4,2024-07-12 11:28:21.149128,2024-07
301,Produit_B,18,26.66,479.88,2024-06-17 11:28:21.149135,2024-06
302,Produit_D,97,25.57,2480.29,2024-09-02 11:28:21.149143,2024-09
303,Produit_C,88,37.25,3278.0,2024-04-01 11:28:21.149152,2024-04
304,Produit_D,81,35.03,2837.43,2024-08-25 11:28:21.149159,2024-08
305,Produit_C,2,182.43,364.86,2024-01-22 11:28:21.149167,2024-01
306,Produit_B,43,21.84,939.12,2024-10-03 11:28:21.149175,2024-10
307,Produit_C,51,92.33,4708.83,2024-07-15 11:28:21.149184,2024-07
308,Produit_E,11,13.93,153.23,2024-01-21 11:28:21.149192,2024-01
309,Produit_C,46,154.92,7126.32,2024-10-03 11:28:21.149200,2024-10
310,Produit_A,90,24.29,2186.1,2023-10-20 11:28:21.149208,2023-10
311,Produit_A,98,157.67,15451.66,2024-03-07 11:28:21.149217,2024-03
312,Produit_D,30,141.8,4254.0,2024-05-30 11:28:21.149225,2024-05
313,Produit_E,32,55.62,1779.84,2024-09-16 11:28:21.149232,2024-09
314,Produit_B,2,69.65,139.3,2024-06-21 11:28:21.149240,2024-06
315,Produit_A,86,122.77,10558.22,2024-01-03 11:28:21.149248,2024-01
316,Produit_B,3,14.75,44.25,2024-07-19 11:28:21.149256,2024-07
317,Produit_D,22,105.24,2315.28,2023-12-05 11:28:21.149264,2023-12
318,Produit_C,1,199.86,199.86,2024-07-19 11:28:21.149272,2024-07
319,Produit_B,57,56.94,3245.58,2023-12-30 11:28:21.149281,2023-12
320,Produit_B,73,99.05,7230.65,2024-06-16 11:28:21.149288,2024-06
321,Produit_E,69,71.17,4910.73,2024-08-13 11:28:21.149296,2024-08
322,Produit_A,58,109.72,6363.76,2023-12-14 11:28:21.149304,2023-12
323,Produit_A,45,78.73,3542.85,2023-10-19 11:28:21.149312,2023-10
324,Produit_E,27,13.49,364.23,2023-12-17 11:28:21.149320,2023-12
325,Produit_B,51,42.09,2146.59,2024-05-20 11:28:21.149328,2024-05
326,Produit_B,2,122.45,244.9,2024-08-06 11:28:21.149337,2024-08
327,Produit_C,5,72.84,364.2,2024-03-10 11:28:21.149345,2024-03
328,Produit_A,99,61.12,6050.88,2024-01-13 11:28:21.149353,2024-01
329,Produit_D,49,62.49,3062.01,2024-01-25 11:28:21.149361,2024-01
330,Produit_E,84,22.88,1921.92,2023-11-03 11:28:21.149369,2023-11
331,Produit_D,43,56.3,2420.9,2024-05-03 11:28:21.149377,2024-05
332,Produit_C,55,178.11,9796.05,2024-06-02 11:28:21.149384,2024-06
333,Produit_C,98,50.82,4980.36,2024-04-22 11:28:21.149393,2024-04
334,Produit_D,57,71.05,4049.85,2024-08-27 11:28:21.149404,2024-08
335,Produit_C,32,12.94,414.08,2024-09-18 11:28:21.149412,2024-09
336,Produit_A,46,121.58,5592.68,2024-08-18 11:28:21.149420,2024-08
337,Produit_C,62,146.64,9091.68,2024-07-15 11:28:21.149433,2024-07
338,Produit_E,21,122.94,2581.74,2024-04-08 11:28:21.149441,2024-04
339,Produit_D,63,189.63,11946.69,2024-03-02 11:28:21.149448,2024-03
340,Produit_D,94,61.13,5746.22,2024-05-15 11:28:21.149456,2024-05
341,Produit_E,31,31.44,974.64,2024-08-28 11:28:21.149464,2024-08
342,Produit_D,23,150.12,3452.76,2024-02-20 11:28:21.149475,2024-02
343,Produit_E,46,113.78,5233.88,2024-02-26 11:28:21.149483,2024-02
344,Produit_D,85,52.93,4499.05,2024-10-01 11:28:21.149491,2024-10
345,Produit_B,81,181.39,14692.59,2024-01-25 11:28:21.149499,2024-01
346,Produit_E,10,133.21,1332.1,2024-01-21 11:28:21.149510,2024-01
347,Produit_C,36,33.82,1217.52,2024-07-30 11:28:21.149519,2024-07
348,Produit_C,38,187.63,7129.94,2024-01-07 11:28:21.149527,2024-01
349,Produit_E,36,32.85,1182.6,2024-06-06 11:28:21.149535,2024-06
